Timestamp,Circuit.feeder_idt629-ihs0_1247x__TotalPower
2020-01-01 00:00:00,(-1120.7486729649593-109.24664743626185j)
2020-01-01 00:15:00,(-1058.522595097451-69.27684577466067j)
2020-01-01 00:30:00,(-1101.602400622966-103.62155677259152j)
2020-01-01 00:45:00,(-1102.7299694341193-105.77764116169192j)
2020-01-01 01:00:00,(-1038.3451062520455-67.73336910402463j)
2020-01-01 01:15:00,(-1085.748778293976-101.93253132341088j)
2020-01-01 01:30:00,(-1082.27718947433-104.024622913918j)
2020-01-01 01:45:00,(-1016.9705075629419-66.12998804674736j)
2020-01-01 02:00:00,(-1067.6122968726384-100.62907542335631j)
2020-01-01 02:15:00,(-1070.0976958000576-103.02195530987703j)
2020-01-01 02:30:00,(-1013.5484232338549-65.8981635317709j)
2020-01-01 02:45:00,(-1075.1979814898789-101.50334731542864j)
2020-01-01 03:00:00,(-1090.2051366824098-104.96082661969346j)
2020-01-01 03:15:00,(-1048.3687440225715-69.4413525360903j)
2020-01-01 03:30:00,(-1122.1016626717822-106.10961732104448j)
2020-01-01 03:45:00,(-1147.7654522906337-110.49150259644311j)
2020-01-01 04:00:00,(-1109.0118672330636-75.11941739826376j)
2020-01-01 04:15:00,(-1181.4714978186908-112.09853070139039j)
2020-01-01 04:30:00,(-1211.0059104679822-116.88710073134727j)
2020-01-01 04:45:00,(-1189.2696763293725-91.99559613888175j)
2020-01-01 05:00:00,(-1257.7265689595442-120.432808209946j)
2020-01-01 05:15:00,(-1303.2036489783848-131.75130524203453j)
2020-01-01 05:30:00,(-1292.5601210082652-109.91367004502119j)
2020-01-01 05:45:00,(-1372.0256615411768-137.78128497590643j)
2020-01-01 06:00:00,(-1438.918045484637-154.72317166819795j)
2020-01-01 06:15:00,(-1450.5318070629257-137.10366433385207j)
2020-01-01 06:30:00,(-1526.0231695063865-166.9819488582509j)
2020-01-01 06:45:00,(-1556.1307550893055-180.81742255538128j)
2020-01-01 07:00:00,(-1546.279542340083-160.37756856782102j)
2020-01-01 07:15:00,(-1558.0697023308758-183.7074473558515j)
2020-01-01 07:30:00,(-1559.3129137719689-186.10083580701823j)
2020-01-01 07:45:00,(-1540.2039225022004-172.57684528214477j)
2020-01-01 08:00:00,(-1509.5751071650639-181.94054037446318j)
2020-01-01 08:15:00,(-1470.2140836803603-180.5557327170106j)
2020-01-01 08:30:00,(-1401.841125743502-161.09517491199423j)
2020-01-01 08:45:00,(-1431.3955035854688-187.9926025539597j)
2020-01-01 09:00:00,(-1434.965935162325-196.1312213295461j)
2020-01-01 09:15:00,(-1391.9667665226207-178.01837106858312j)
2020-01-01 09:30:00,(-1396.1681464573596-188.56794366239558j)
2020-01-01 09:45:00,(-1391.8668822479065-191.32521470621884j)
2020-01-01 10:00:00,(-1366.54671042115-177.9359842520094j)
2020-01-01 10:15:00,(-1366.817034321756-183.35689961629296j)
2020-01-01 10:30:00,(-1356.2021962383787-183.2475335770161j)
2020-01-01 10:45:00,(-1314.4048250030992-166.43971156479282j)
2020-01-01 11:00:00,(-1315.0501590970393-173.3215667813067j)
2020-01-01 11:15:00,(-1299.7253507779576-169.8804089929957j)
2020-01-01 11:30:00,(-1267.970385872869-156.83973297969166j)
2020-01-01 11:45:00,(-1282.0106023935027-169.60115258404088j)
2020-01-01 12:00:00,(-1270.566273330158-168.09955110519917j)
2020-01-01 12:15:00,(-1224.7893526724092-149.23459514360098j)
2020-01-01 12:30:00,(-1231.8147913122834-157.8458374798184j)
2020-01-01 12:45:00,(-1217.5074652612598-152.9098649089722j)
2020-01-01 13:00:00,(-1178.7452145073937-135.64642555956374j)
2020-01-01 13:15:00,(-1205.4666292830395-151.77782333300652j)
2020-01-01 13:30:00,(-1184.2356859416404-144.41112456093805j)
2020-01-01 13:45:00,(-1177.7731263564247-139.0308273697226j)
2020-01-01 14:00:00,(-1214.1092098029244-157.09174432866803j)
2020-01-01 14:15:00,(-1220.5722280388018-160.80849583962967j)
2020-01-01 14:30:00,(-1219.451700229353-157.99286703316076j)
2020-01-01 14:45:00,(-1225.6874466639915-163.42913762854016j)
2020-01-01 15:00:00,(-1227.5372619361162-163.6928314917294j)
2020-01-01 15:15:00,(-1225.4309248716672-158.47175120241388j)
2020-01-01 15:30:00,(-1255.8833559620393-172.50757983866782j)
2020-01-01 15:45:00,(-1261.8476591839994-170.50571683416766j)
2020-01-01 16:00:00,(-1274.16517427804-164.45485155562685j)
2020-01-01 16:15:00,(-1336.7143460598163-180.72264666948578j)
2020-01-01 16:30:00,(-1326.0454913872975-171.7651104108807j)
2020-01-01 16:45:00,(-1382.885229065839-170.18817896719992j)
2020-01-01 17:00:00,(-1423.6418163115452-182.12593621118717j)
2020-01-01 17:15:00,(-1426.5928341038107-178.4172852665931j)
2020-01-01 17:30:00,(-1465.698860832797-177.85253070144606j)
2020-01-01 17:45:00,(-1487.4598402254167-188.33354897241517j)
2020-01-01 18:00:00,(-1493.1382715863722-184.83844679729478j)
2020-01-01 18:15:00,(-1427.9444663843283-165.49956686067728j)
2020-01-01 18:30:00,(-1376.7283482281273-166.41563601168653j)
2020-01-01 18:45:00,(-1263.3321049136537-139.14948023963612j)
2020-01-01 19:00:00,(-1143.013867022387-107.95754079558617j)
2020-01-01 19:15:00,(-1119.6558508838625-116.5155991675167j)
2020-01-01 19:30:00,(-1084.3420639710298-110.71226440279614j)
2020-01-01 19:45:00,(-1063.6965111286875-99.33948440926405j)
2020-01-01 20:00:00,(-1063.6537156091626-103.24761802896641j)
2020-01-01 20:15:00,(-1066.3250149068301-100.87425984349112j)
2020-01-01 20:30:00,(-1075.4844041560398-94.23291799696774j)
2020-01-01 20:45:00,(-1102.1779339174323-102.55812208459636j)
2020-01-01 21:00:00,(-1105.3444704650685-101.74479681338161j)
2020-01-01 21:15:00,(-1087.6202292604273-90.2366670342987j)
2020-01-01 21:30:00,(-1087.3263309868405-93.20497310454947j)
2020-01-01 21:45:00,(-1085.4754673323869-94.28132948341057j)
2020-01-01 22:00:00,(-1073.5382313000916-85.65915649581811j)
2020-01-01 22:15:00,(-1088.1301953779935-93.63881161551618j)
2020-01-01 22:30:00,(-1091.9810091667018-95.2731821697339j)
2020-01-01 22:45:00,(-1077.3159193330146-86.09015678663677j)
2020-01-01 23:00:00,(-1079.5600988493823-93.05506958592225j)
2020-01-01 23:15:00,(-1081.1256907514744-94.33733290267006j)
2020-01-01 23:30:00,(-1064.9849576852425-85.13369320455728j)
2020-01-01 23:45:00,(-1066.7460221919614-92.5868946407381j)
